Vintage;Country;County;Designation;Points;Price;Province;Title;Variety;Winery
01/01/1929;Italy;Sangiovese di Romagna Superiore;Prugneto;84;$15.00;Central Italy;Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore);Sangiovese;Poderi dal Nespoli 1929
01/01/1945;France;Rivesaltes;Legend Vintage;95;$350.00;Languedoc-Roussillon;GÇrard Bertrand 1945 Legend Vintage Red (Rivesaltes);Red Blend;GÇrard Bertrand
01/01/1989;France;Champagne;Diamant Bleu;91;$70.00;Champagne;Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne);Champagne Blend;Heidsieck & Co Monopole
01/01/1990;France;Champagne;Dom PÇrignon RosÇ;90;$290.00;Champagne;Moât & Chandon 1990 Dom PÇrignon RosÇ (Champagne);Champagne Blend;Moât & Chandon
01/01/1994;Italy;Vin Santo del Chianti Rufina;Riserva;93;$140.00;Tuscany;Fattoria di Grignano 1994 Riserva (Vin Santo del Chianti Rufina);White Blend;Fattoria di Grignano
01/01/1995;France;Champagne;Premier Cru Blanc de Blancs Brut;89;$48.00;Champagne;De Saint Gall 1995 Premier Cru Blanc de Blancs Brut (Champagne);Champagne Blend;De Saint Gall
01/01/1995;France;Champagne;Grande Cru Brut;90;$60.00;Champagne;Soutiran 1995 Grande Cru Brut (Champagne);Champagne Blend;Soutiran
01/01/1995;Italy;Brunello di Montalcino;Riserva;84;$56.00;Tuscany;Poggio Antico 1995 Riserva (Brunello di Montalcino);Sangiovese;Poggio Antico
01/01/1996;Italy;Chianti Classico;Riserva;84;$18.00;Tuscany;Querceto 1996 Riserva (Chianti Classico);Sangiovese;Querceto
01/01/1996;France;Champagne;CuvÇe Femme Brut;95;$120.00;Champagne;Duval-Leroy 1996 CuvÇe Femme Brut (Champagne);Champagne Blend;Duval-Leroy
01/01/1996;Italy;Chianti Classico;Riserva;83;$26.00;Tuscany;Castellare 1996 Riserva (Chianti Classico);Sangiovese;Castellare
01/01/1996;Italy;Piedmont;Dino Nero Spumante;90;$36.00;Piedmont;Bruno Giacosa 1996 Dino Nero Spumante (Piedmont);Champagne Blend;Bruno Giacosa
01/01/1997;Italy;Amarone della Valpolicella Classico;Morar;91;$50.00;Veneto;Valentina Cubi 1997 Morar (Amarone della Valpolicella Classico);Corvina, Rondinella, Molinara;Valentina Cubi
01/01/1997;France;Chablis;Les Blanchots;92;$85.00;Burgundy;Domaine Laroche 1997 Les Blanchots (Chablis);Chardonnay;Domaine Laroche
01/01/1997;Italy;Toscana;Montepaone;89;$45.00;Tuscany;Castello di Montepï 1997 Montepaone Cabernet Sauvignon (Toscana);Cabernet Sauvignon;Castello di Montepï
01/01/1997;Italy;Chianti Classico;Querciolo Riserva;84;$22.00;Tuscany;Podere La Cappella 1997 Querciolo Riserva (Chianti Classico);Sangiovese;Podere La Cappella
01/01/1997;Italy;Toscana;Selvamaggio;88;$27.00;Tuscany;Villa La Selva 1997 Selvamaggio Cabernet Sauvignon (Toscana);Cabernet Sauvignon;Villa La Selva
01/01/1997;Italy;Franciacorta;Brut Riserva;85;$28.00;Lombardy;Cornaleto 1997 Brut Riserva Sparkling (Franciacorta);Sparkling Blend;Cornaleto
01/01/1997;France;Champagne;Palmes d'Or;91;$120.00;Champagne;Nicolas Feuillatte 1997 Palmes d'Or (Champagne);Champagne Blend;Nicolas Feuillatte
01/01/1997;Italy;Brunello di Montalcino;Greppone Mazzi;90;$60.00;Tuscany;Ruffino 1997 Greppone Mazzi (Brunello di Montalcino);Sangiovese;Ruffino
01/01/1998;France;Costiäres de Nåmes;Prestige des Gibelins;88;$15.00;Rhìne Valley;ChÉteau Mas Neuf 1998 Prestige des Gibelins Red (Costiäres de Nåmes);Rhìne-style Red Blend;ChÉteau Mas Neuf
01/01/1998;France;Champagne;Dom Ruinart Brut RosÇ;95;$275.00;Champagne;Ruinart 1998 Dom Ruinart Brut RosÇ (Champagne);Champagne Blend;Ruinart
01/01/1998;France;Champagne;Diamant RosÇ Brut;86;$160.00;Champagne;Vranken 1998 Diamant RosÇ Brut (Champagne);Champagne Blend;Vranken
01/01/1998;Italy;Toscana;Le Marze;89;$40.00;Tuscany;Elisabetta 1998 Le Marze Red (Toscana);Bordeaux-style Red Blend;Elisabetta
01/01/1998;Italy;Chianti;I Sodi del Paretaio;83;$11.00;Tuscany;Badia di Morrona 1998 I Sodi del Paretaio (Chianti);Sangiovese;Badia di Morrona
01/01/1998;France;Meursault;ChÉteau de Blagny Premier Cru;88;$45.00;Burgundy;Louis Latour 1998 ChÉteau de Blagny Premier Cru (Meursault);Chardonnay;Louis Latour
01/01/1998;Italy;Sant'Antimo;Excelsus;90;$73.00;Tuscany;Castello Banfi 1998 Excelsus Red (Sant'Antimo);Bordeaux-style Red Blend;Castello Banfi
01/01/1998;Italy;Sant'Antimo;Colvecchio;86;$36.00;Tuscany;Castello Banfi 1998 Colvecchio Syrah (Sant'Antimo);Syrah;Castello Banfi
01/01/1998;Italy;Chianti Classico;Riserva;90;$22.00;Tuscany;Carpineto 1998 Riserva (Chianti Classico);Sangiovese;Carpineto
01/01/1998;France;Champagne;Chardonnay Blanc de Blancs Brut;89;$40.00;Champagne;Nicolas Feuillatte 1998 Chardonnay Blanc de Blancs Brut Chardonnay (Champagne);Chardonnay;Nicolas Feuillatte
01/01/1998;France;Pernand-Vergelesses;Premier Cru Les Vergelesses;92;$33.00;Burgundy;Laleure-Piot 1998 Premier Cru Les Vergelesses (Pernand-Vergelesses);Pinot Noir;Laleure-Piot
01/01/1998;France;Puligny-Montrachet;Les Referts Premier Cru;92;$55.00;Burgundy;Louis Latour 1998 Les Referts Premier Cru (Puligny-Montrachet);Chardonnay;Louis Latour
01/01/1998;France;Bordeaux Blanc;Reserve;88;$10.00;Bordeaux;Calvet 1998 Reserve (Bordeaux Blanc);Bordeaux-style White Blend;Calvet
01/01/1998;Italy;Morellino di Scansano;Riserva;88;$19.00;Tuscany;Val delle Rose 1998 Riserva (Morellino di Scansano);Sangiovese;Val delle Rose
01/01/1998;France;Champagne;MillÇsimÇ Brut;93;$95.00;Champagne;Henriot 1998 MillÇsimÇ Brut (Champagne);Champagne Blend;Henriot
01/01/1998;France;Cìtes du Luberon;Estate Bottled;87;$10.00;Rhìne Valley;ChÉteau Val Joanis 1998 Estate Bottled Red (Cìtes du Luberon);Rhìne-style Red Blend;ChÉteau Val Joanis
01/01/1998;France;Cìtes du Rhìne;Domaine Grand Veneur;86;$9.00;Rhìne Valley;Alain Jaume et Fils 1998 Domaine Grand Veneur Red (Cìtes du Rhìne);Rhìne-style Red Blend;Alain Jaume et Fils
01/01/1998;France;Champagne;Grand Siäcle CuvÇe Alexandra RosÇ Brut;93;$300.00;Champagne;Laurent-Perrier 1998 Grand Siäcle CuvÇe Alexandra RosÇ Brut (Champagne);Champagne Blend;Laurent-Perrier
01/01/1999;Italy;Trento;Riserva del Fondatore;93;$90.00;Northeastern Italy;Giulio Ferrari 1999 Riserva del Fondatore Chardonnay (Trento);Chardonnay;Giulio Ferrari
01/01/1999;Italy;Bolgheri;Guado Al Tasso;95;$80.00;Tuscany;Antinori 1999 Guado Al Tasso (Bolgheri);Red Blend;Antinori
01/01/1999;France;Hermitage;Chevalier de Sterimberg;94;$75.00;Rhìne Valley;Paul Jaboulet AånÇ 1999 Chevalier de Sterimberg White (Hermitage);Rhìne-style White Blend;Paul Jaboulet AånÇ
01/01/1999;France;Bordeaux Blanc;Reserve;84;$9.00;Bordeaux;Marquis de Chasse 1999 Reserve (Bordeaux Blanc);Bordeaux-style White Blend;Marquis de Chasse
01/01/1999;Italy;Toscana;Ceccante;90;$43.00;Tuscany;Il Grillesino 1999 Ceccante Sangiovese (Toscana);Sangiovese;Il Grillesino
01/01/1999;France;Champagne;Extra CuvÇe de RÇserve Vintage Brut;93;$103.00;Champagne;Pol Roger 1999 Extra CuvÇe de RÇserve Vintage Brut (Champagne);Champagne Blend;Pol Roger
01/01/1999;Italy;Sardinia;Le Arenarie;88;$12.00;Sicily & Sardinia;Sella & Mosca 1999 Le Arenarie Sauvignon Blanc (Sardinia);Sauvignon Blanc;Sella & Mosca
01/01/1999;Italy;Sant'Antimo;Cum Laude;87;$35.00;Tuscany;Castello Banfi 1999 Cum Laude Sangiovese (Sant'Antimo);Sangiovese;Castello Banfi
01/01/1999;France;Champagne;CuvÇe William Deutz RosÇ Brut;94;$170.00;Champagne;Deutz 1999 CuvÇe William Deutz RosÇ Brut (Champagne);Champagne Blend;Deutz
01/01/1999;France;Muscadet Sävre et Maine;ElevÇ en F«Øts de Ch«¶ne Neufs;88;$30.00;Loire Valley;ChÉteau du Coing de Saint-Fiacre 1999 ElevÇ en F«Øts de Ch«¶ne Neufs (Muscadet Sävre et Maine);Melon;ChÉteau du Coing de Saint-Fiacre
01/01/1999;France;Champagne;MillesimÇ Brut;92;$65.00;Champagne;Ayala 1999 MillesimÇ Brut (Champagne);Champagne Blend;Ayala
01/01/1999;France;Nuits-St.-Georges;Les Chaliots;87;$37.00;Burgundy;Michel Gros 1999 Les Chaliots (Nuits-St.-Georges);Pinot Noir;Michel Gros
01/01/1999;France;Champagne;MillesimÇ Brut;90;$75.00;Champagne;Laurent-Perrier 1999 MillesimÇ Brut (Champagne);Champagne Blend;Laurent-Perrier
01/01/1999;Italy;Chianti Classico;Teuzzo Riserva;86;$31.00;Tuscany;Cecchi 1999 Teuzzo Riserva (Chianti Classico);Sangiovese;Cecchi
01/01/1999;France;Nuits-St.-Georges;Clos dea Argillieres;89;$52.00;Burgundy;Daniel Rion 1999 Clos dea Argillieres (Nuits-St.-Georges);Pinot Noir;Daniel Rion
01/01/1999;France;Champagne;Blanc de Blancs Brut;90;$95.00;Champagne;Delamotte 1999 Blanc de Blancs Brut Chardonnay (Champagne);Chardonnay;Delamotte
01/01/1999;Italy;Fiano di Avellino;Terre di Dora;91;$20.00;Southern Italy;Terredora 1999 Terre di Dora (Fiano di Avellino);White Blend;Terredora
01/01/1999;France;Vosne-RomanÇe;Aux Brulees;90;$65.00;Burgundy;Michel Gros 1999 Aux Brulees (Vosne-RomanÇe);Pinot Noir;Michel Gros
01/01/2000;Italy;Toscana;Crognolo;92;$32.00;Tuscany;Tenuta Sette Ponti 2000 Crognolo Sangiovese (Toscana);Sangiovese;Tenuta Sette Ponti
01/01/2000;France;Champagne;CuvÇe 1522 Grand Cru Brut;93;$100.00;Champagne;Philipponnat 2000 CuvÇe 1522 Grand Cru Brut (Champagne);Champagne Blend;Philipponnat
01/01/2000;France;Clos de Vougeot;Clos de Vougeot;92;$400.00;Burgundy;Domaine Henri Rebourseau 2000 Clos de Vougeot (Clos de Vougeot);Pinot Noir;Domaine Henri Rebourseau
01/01/2000;Italy;Venezia Giulia;Were Dreams, Now it is Just Wine;85;$55.00;Northeastern Italy;Jermann 2000 Were Dreams, Now it is Just Wine Chardonnay (Venezia Giulia);Chardonnay;Jermann
01/01/2000;France;Chassagne-Montrachet;Morgeot;89;$50.00;Burgundy;Louis Latour 2000 Morgeot (Chassagne-Montrachet);Chardonnay;Louis Latour
01/01/2000;Italy;Carignano del Sulcis;Terre Rare Riserva;89;$22.00;Sicily & Sardinia;Sella & Mosca 2000 Terre Rare Riserva (Carignano del Sulcis);Carignano;Sella & Mosca
01/01/2000;Italy;Barolo;Vigneto Boscareto;90;$79.00;Piedmont;Beni di Batasiolo 2000 Vigneto Boscareto (Barolo);Nebbiolo;Beni di Batasiolo
01/01/2000;Italy;Alto Adige;Sanct Valentin;87;$28.00;Northeastern Italy;St. Michael-Eppan 2000 Sanct Valentin Sauvignon Blanc (Alto Adige);Sauvignon Blanc;St. Michael-Eppan
01/01/2000;Italy;Bianco di Custoza;Vigne Alte;88;$11.00;Veneto;Fratelli Zeni 2000 Vigne Alte (Bianco di Custoza);White Blend;Fratelli Zeni
01/01/2000;Italy;Marca Trevigiana;Marinali Bianco;84;$20.00;Veneto;Villa Sandi 2000 Marinali Bianco White (Marca Trevigiana);White Blend;Villa Sandi
01/01/2000;France;Meursault;Chateau De Blagny Premier Cru;89;$40.00;Burgundy;Louis Latour 2000 Chateau De Blagny Premier Cru (Meursault);Chardonnay;Louis Latour
01/01/2000;Italy;Chianti Classico;Scassino;87;$20.00;Tuscany;Terrabianca 2000 Scassino (Chianti Classico);Sangiovese;Terrabianca
01/01/2000;France;Champagne;Joyau de France Brut;91;$116.00;Champagne;Boizel 2000 Joyau de France Brut (Champagne);Champagne Blend;Boizel
01/01/2000;Italy;Barolo;Riserva;92;$84.00;Piedmont;Marchesi di Barolo 2000 Riserva (Barolo);Nebbiolo;Marchesi di Barolo
01/01/2001;Italy;Copertino;Riserva;87;$15.00;Southern Italy;Cantina Sociale Cooperativa di Copertino 2001 Riserva Negroamaro (Copertino);Negroamaro;Cantina Sociale Cooperativa di Copertino
01/01/2001;Italy;Collio;Sauvignon de la Tour;87;$38.00;Northeastern Italy;Villa Russiz 2001 Sauvignon de la Tour Sauvignon Blanc (Collio);Sauvignon Blanc;Villa Russiz
01/01/2001;France;Alsace;SÇlection de Grains Nobles;92;$197.00;Alsace;Hugel 2001 SÇlection de Grains Nobles Gewurztraminer (Alsace);GewÅrztraminer;Hugel
01/01/2001;Italy;Soave Classico;La FroscÖ;89;$18.00;Veneto;Gini 2001 La FroscÖ (Soave Classico);White Blend;Gini
01/01/2001;Italy;Barolo;Riserva La Volta;87;$70.00;Piedmont;Viberti 2001 Riserva La Volta (Barolo);Nebbiolo;Viberti
01/01/2001;France;Saint-êmilion;Grand-Portail CuvÇe RÇservÇe;86;$15.00;Bordeaux;Caves Fleury 2001 Grand-Portail CuvÇe RÇservÇe (Saint-êmilion);Bordeaux-style Red Blend;Caves Fleury
01/01/2001;Italy;Taurasi;Fatica Contadina;90;$54.00;Southern Italy;Terredora 2001 Fatica Contadina (Taurasi);Aglianico;Terredora
01/01/2001;Italy;Taurasi;Riserva CampoRe;92;$70.00;Southern Italy;Terredora 2001 Riserva CampoRe (Taurasi);Aglianico;Terredora
01/01/2001;Italy;Delle Venezie;Capitel Croce;91;$18.00;Northeastern Italy;Anselmi 2001 Capitel Croce White (Delle Venezie);White Blend;Anselmi
01/01/2001;Italy;Barolo;Sorano;91;$60.00;Piedmont;Giacomo Ascheri 2001 Sorano (Barolo);Nebbiolo;Giacomo Ascheri
01/01/2001;Italy;Alto Adige;Lafoa;90;$35.00;Northeastern Italy;Produttori Colterenzio 2001 Lafoa Sauvignon Blanc (Alto Adige);Sauvignon Blanc;Produttori Colterenzio
01/01/2001;Italy;Brunello di Montalcino;Riserva;92;$80.00;Tuscany;Fattoria dei Barbi 2001 Riserva (Brunello di Montalcino);Sangiovese;Fattoria dei Barbi
01/01/2001;Italy;Alto Adige;Lunare;87;$43.00;Northeastern Italy;Cantina Terlano 2001 Lunare GewÅrztraminer (Alto Adige);GewÅrztraminer;Cantina Terlano
01/01/2001;Italy;Vino Nobile di Montepulciano;Vigneto Poggio Sant'Enrico;92;$75.00;Tuscany;Carpineto 2001 Vigneto Poggio Sant'Enrico (Vino Nobile di Montepulciano);Prugnolo Gentile;Carpineto
01/01/2001;Italy;Friuli Venezia Giulia;Blanc des Rosis;89;$31.00;Northeastern Italy;Mario Schiopetto 2001 Blanc des Rosis White (Friuli Venezia Giulia);White Blend;Mario Schiopetto
01/01/2001;Italy;Friuli Venezia Giulia;Ipso;91;$18.00;Northeastern Italy;Volpe Pasini 2001 Ipso Pinot Grigio (Friuli Venezia Giulia);Pinot Grigio;Volpe Pasini
01/01/2001;Italy;Irpinia;Naturalis Historia;93;$65.00;Southern Italy;Mastroberardino 2001 Naturalis Historia Aglianico (Irpinia);Aglianico;Mastroberardino
01/01/2001;Italy;Trentino;L'Aristocratico;85;$15.00;Northeastern Italy;Ca' Montini 2001 L'Aristocratico Sauvignon Blanc (Trentino);Sauvignon Blanc;Ca' Montini
01/01/2001;France;France;Vin de Pays de l'Ardeche;80;$10.00;France Other;Georges Duboeuf 2001 Vin de Pays de l'Ardeche Viognier (France);Viognier;Georges Duboeuf
01/01/2001;France;Rivesaltes;Domaine de Bila-Haut Vin Doux Naturel;89;$26.00;Languedoc-Roussillon;M. Chapoutier 2001 Domaine de Bila-Haut Vin Doux Naturel Grenache (Rivesaltes);Grenache;M. Chapoutier
01/01/2001;Italy;Soave Classico Superiore;Contrada Salavrenza Vecchie Vigne;91;$24.00;Veneto;Gini 2001 Contrada Salavrenza Vecchie Vigne (Soave Classico Superiore);White Blend;Gini
01/01/2001;Italy;Toscana;Il Decennale;90;$200.00;Tuscany;Poggio di Sotto 2001 Il Decennale Sangiovese (Toscana);Sangiovese;Poggio di Sotto
01/01/2001;Italy;Amarone della Valpolicella Classico;Mazzano;94;$198.00;Veneto;Masi 2001 Mazzano (Amarone della Valpolicella Classico);Corvina, Rondinella, Molinara;Masi
01/01/2001;France;Languedoc;Reserve St. Martin;82;$8.00;Languedoc-Roussillon;Val d'Orbieu 2001 Reserve St. Martin Syrah (Languedoc);Syrah;Val d'Orbieu
01/01/2001;Italy;Vigneti delle Dolomiti;San Leonardo;93;$60.00;Northeastern Italy;Tenuta San Leonardo 2001 San Leonardo Red (Vigneti delle Dolomiti);Red Blend;Tenuta San Leonardo
01/01/2001;France;Champagne;MillÇsime Brut;90;$51.00;Champagne;Charles Ellner 2001 MillÇsime Brut (Champagne);Champagne Blend;Charles Ellner
01/01/2001;Italy;Etna;Phiale;90;$26.00;Sicily & Sardinia;Scilio 2001 Phiale (Etna);Red Blend;Scilio
01/01/2001;Italy;Alto Adige;Cornell;89;$33.00;Northeastern Italy;Produttori Colterenzio 2001 Cornell Chardonnay (Alto Adige);Chardonnay;Produttori Colterenzio
01/01/2001;Italy;Gattinara;Trevigne;91;$43.00;Piedmont;Travaglini 2001 Trevigne (Gattinara);Nebbiolo;Travaglini
01/01/2001;Italy;Alto Adige;Beyond the Clouds;90;$40.00;Northeastern Italy;Elena Walch 2001 Beyond the Clouds White (Alto Adige);White Blend;Elena Walch
01/01/2001;Italy;Toscana;Casalferro;91;$50.00;Tuscany;Barone Ricasoli 2001 Casalferro Red (Toscana);Red Blend;Barone Ricasoli
01/01/2001;Italy;Friuli Isonzo;Flors di Uis;88;$27.00;Northeastern Italy;Vie di Romans 2001 Flors di Uis White (Friuli Isonzo);White Blend;Vie di Romans
01/01/2001;Italy;Trentino;Maso Canali;84;$17.00;Northeastern Italy;Ecco Domani 2001 Maso Canali Pinot Grigio (Trentino);Pinot Grigio;Ecco Domani
01/01/2001;Italy;Toscana;Infinito;88;$50.00;Tuscany;Castello di Monastero 2001 Infinito Red (Toscana);Red Blend;Castello di Monastero
01/01/2001;Italy;Toscana;Cortaccio;92;$61.00;Tuscany;Villa Cafaggio 2001 Cortaccio Cabernet Sauvignon (Toscana);Cabernet Sauvignon;Villa Cafaggio
01/01/2002;Italy;Toscana;Vin San Laurentino;92;$95.00;Tuscany;Castello di Bossi 2002 Vin San Laurentino White (Toscana);White Blend;Castello di Bossi
01/01/2002;Italy;Franciacorta;Dosage Zero;90;$88.00;Lombardy;Ca' del Bosco 2002 Dosage Zero Sparkling (Franciacorta);Sparkling Blend;Ca' del Bosco
01/01/2002;France;Champagne;Palmes d'Or RosÇ;85;$200.00;Champagne;Nicolas Feuillatte 2002 Palmes d'Or RosÇ (Champagne);Champagne Blend;Nicolas Feuillatte
01/01/2002;Italy;Delle Venezie;El Zuiter;87;$22.00;Northeastern Italy;Montelvini 2002 El Zuiter Red (Delle Venezie);Red Blend;Montelvini
01/01/2002;Italy;Soave;Colbaraca Classico;87;$11.00;Veneto;Masi 2002 Colbaraca Classico (Soave);Garganega;Masi
01/01/2002;France;Vin de Pays d'Oc;Nid D'Abeille;82;$8.00;Languedoc-Roussillon;Mommessin 2002 Nid D'Abeille Chardonnay (Vin de Pays d'Oc);Chardonnay;Mommessin
01/01/2002;Italy;Trentino;Vino Santo;89;$35.00;Northeastern Italy;Pisoni 2002 Vino Santo Nosiola (Trentino);Nosiola;Pisoni
01/01/2002;France;Cìtes de Saint-Mont;ChÉteau du Bascou;84;$42.00;Southwest France;Producteurs Plaimont 2002 ChÉteau du Bascou Red (Cìtes de Saint-Mont);Red Blend;Producteurs Plaimont
01/01/2002;Italy;Cerasuolo di Vittoria;Barocco;90;$50.00;Sicily & Sardinia;Avide 2002 Barocco (Cerasuolo di Vittoria);Red Blend;Avide
01/01/2002;France;Champagne;RosÇ MillÇsimÇ;92;$80.00;Champagne;Henriot 2002 RosÇ MillÇsimÇ (Champagne);Champagne Blend;Henriot
01/01/2002;Italy;Trento;Flavio Riserva Brut Talento;91;$30.00;Northeastern Italy;Rotari 2002 Flavio Riserva Brut Talento Chardonnay (Trento);Chardonnay;Rotari
01/01/2002;Italy;Veneto;Opere Trevigiane Riserva Brut;90;$34.00;Veneto;Villa Sandi 2002 Opere Trevigiane Riserva Brut Sparkling (Veneto);Sparkling Blend;Villa Sandi
01/01/2002;France;Champagne;Blanc de Blancs Brut;91;$65.00;Champagne;Ayala 2002 Blanc de Blancs Brut Chardonnay (Champagne);Chardonnay;Ayala
01/01/2003;Italy;Toscana;Vin San Laurentino;93;$95.00;Tuscany;Castello di Bossi 2003 Vin San Laurentino White (Toscana);White Blend;Castello di Bossi
01/01/2003;France;Madiran;CuvÇe Greenwich;92;$30.00;Southwest France;ChÉteau Peyros 2003 CuvÇe Greenwich Tannat (Madiran);Tannat;ChÉteau Peyros
01/01/2003;Italy;Toscana;Veneroso;89;$35.00;Tuscany;Tenuta di Ghizzano 2003 Veneroso Red (Toscana);Red Blend;Tenuta di Ghizzano
01/01/2003;Italy;Salice Salentino;Donna Lisa Rosso;88;$16.00;Southern Italy;Leone de Castris 2003 Donna Lisa Rosso Red (Salice Salentino);Red Blend;Leone de Castris
01/01/2003;Italy;Barolo;Bricco Rocche Prap¢;92;$70.00;Piedmont;Ceretto 2003 Bricco Rocche Prap¢ (Barolo);Nebbiolo;Ceretto
01/01/2003;Italy;Vernaccia di San Gimignano;Riserva;89;$16.00;Tuscany;San Quirico 2003 Riserva (Vernaccia di San Gimignano);Vernaccia;San Quirico
01/01/2003;Italy;Colline Teatine;Marina Cvetic;91;$50.00;Central Italy;Masciarelli 2003 Marina Cvetic Chardonnay (Colline Teatine);Chardonnay;Masciarelli
01/01/2003;Italy;Piave;Raboso;89;$25.00;Veneto;Moletto 2003 Raboso Raboso (Piave);Raboso;Moletto
01/01/2003;France;Champagne;RosÇ Brut;90;$75.00;Champagne;Deutz 2003 RosÇ Brut (Champagne);Champagne Blend;Deutz
01/01/2003;Italy;Aglianico del Vulture;Re Manfredi Serpara;88;$42.00;Southern Italy;Terre degli Svevi 2003 Re Manfredi Serpara (Aglianico del Vulture);Aglianico;Terre degli Svevi
01/01/2003;Italy;Salice Salentino;Riserva Puteus;86;$17.00;Southern Italy;Mocavero 2003 Riserva Puteus Red (Salice Salentino);Red Blend;Mocavero
01/01/2003;Italy;Toscana;Alcineo;86;$50.00;Tuscany;Palazzo 2003 Alcineo Red (Toscana);Red Blend;Palazzo
01/01/2003;Italy;Umbria;Campoleone;93;$50.00;Central Italy;Lamborghini 2003 Campoleone Red (Umbria);Red Blend;Lamborghini
01/01/2003;France;Haut-MÇdoc;Kosher;86;$32.00;Bordeaux;Barons Edmund Benjamin de Rothschild 2003 Kosher (Haut-MÇdoc);Bordeaux-style Red Blend;Barons Edmund Benjamin de Rothschild
01/01/2003;Italy;Sicilia;Sigillo;90;$50.00;Sicily & Sardinia;Avide 2003 Sigillo Red (Sicilia);Red Blend;Avide
01/01/2003;Italy;Toscana;I Sodi di San Niccol¢;92;$60.00;Tuscany;Castellare di Castellina 2003 I Sodi di San Niccol¢ Sangiovese (Toscana);Sangiovese;Castellare di Castellina
01/01/2003;Italy;Sicilia;Schietto;91;$40.00;Sicily & Sardinia;Principi di Spadafora 2003 Schietto Syrah (Sicilia);Syrah;Principi di Spadafora
01/01/2003;Italy;Val di Cornia Suvereto;Gualdo del Re;90;$30.00;Tuscany;Gualdo del Re 2003 Gualdo del Re Sangiovese Grosso (Val di Cornia Suvereto);Sangiovese Grosso;Gualdo del Re
01/01/2003;Italy;Valpolicella Superiore;I Saltari Le Vigne di Turano;87;$25.00;Veneto;Sartori 2003 I Saltari Le Vigne di Turano (Valpolicella Superiore);Corvina, Rondinella, Molinara;Sartori
01/01/2003;France;Muscadet Cìtes de Grandlieu;Origine du Haut Bourg;91;$20.00;Loire Valley;Domaine du Haut Bourg 2003 Origine du Haut Bourg (Muscadet Cìtes de Grandlieu);Melon;Domaine du Haut Bourg
01/01/2003;Italy;Maremma;Tenuta Belguardo;92;$60.00;Tuscany;Mazzei 2003 Tenuta Belguardo (Maremma);Red Blend;Mazzei
01/01/2003;Italy;Biferno Rosso;Gironia;89;$26.00;Southern Italy;Borgo di Colloredo 2003 Gironia (Biferno Rosso);Red Blend;Borgo di Colloredo
01/01/2003;Italy;Chianti Classico;Riserva;89;$30.00;Tuscany;Castello di Monastero 2003 Riserva (Chianti Classico);Sangiovese;Castello di Monastero
01/01/2003;Italy;Lago di Corbara;Villa Monticelli;91;$30.00;Central Italy;Barberani 2003 Villa Monticelli Red (Lago di Corbara);Red Blend;Barberani
01/01/2003;Italy;Toscana;Castello di Nipozzano Mormoreto;90;$50.00;Tuscany;Marchesi de' Frescobaldi 2003 Castello di Nipozzano Mormoreto Red (Toscana);Red Blend;Marchesi de' Frescobaldi
01/01/2003;Italy;Amarone della Valpolicella Classico;Riserva di Costasera;92;$75.00;Veneto;Masi 2003 Riserva di Costasera (Amarone della Valpolicella Classico);Corvina, Rondinella, Molinara;Masi
01/01/2003;France;Les Baux de Provence;La Stäle Rouge;86;$24.00;Provence;Mas de la Dame 2003 La Stäle Rouge Syrah-Cabernet (Les Baux de Provence);Syrah-Cabernet;Mas de la Dame
01/01/2003;Italy;Rosso del Veronese;Arläo;90;$45.00;Veneto;Santa Sofia 2003 Arläo Red (Rosso del Veronese);Red Blend;Santa Sofia
01/01/2003;France;Coteaux d'Aix-en-Provence;Rocher Rouge;89;$80.00;Provence;ChÉteau Calissanne 2003 Rocher Rouge Mourvädre (Coteaux d'Aix-en-Provence);Mourvädre;ChÉteau Calissanne
01/01/2003;Italy;Toscana;Quercegobbe;86;$50.00;Tuscany;Petra 2003 Quercegobbe Merlot (Toscana);Merlot;Petra
01/01/2003;Italy;Amarone della Valpolicella;Rocca Sveva;89;$85.00;Veneto;Cantina di Soave 2003 Rocca Sveva (Amarone della Valpolicella);Corvina, Rondinella, Molinara;Cantina di Soave
01/01/2003;Italy;Barbaresco;Cantina Tre Serre;88;$29.00;Piedmont;Vinchio-Vaglio Serra 2003 Cantina Tre Serre (Barbaresco);Nebbiolo;Vinchio-Vaglio Serra
01/01/2003;Italy;Colli della Toscana Centrale;Il Sole di Alessandro;90;$70.00;Tuscany;Castello di Querceto 2003 Il Sole di Alessandro Cabernet Sauvignon (Colli della Toscana Centrale);Cabernet Sauvignon;Castello di Querceto
01/01/2003;Italy;Montefalco Rosso;Riserva;86;$18.00;Central Italy;Terre de Trinci 2003 Riserva (Montefalco Rosso);Red Blend;Terre de Trinci
01/01/2004;Italy;Lago di Corbara;Red Blend;87;$17.00;Central Italy;Castello di Corbara 2004 Red Blend Red (Lago di Corbara);Red Blend;Castello di Corbara
01/01/2004;France;Champagne;MillÇsime Premier Cru Extra Brut;91;$160.00;Champagne;Yann Alexandre 2004 MillÇsime Premier Cru Extra Brut (Champagne);Champagne Blend;Yann Alexandre
01/01/2004;Italy;Brunello di Montalcino;Riserva;89;$120.00;Tuscany;Le Potazzine 2004 Riserva (Brunello di Montalcino);Sangiovese Grosso;Le Potazzine
