Vintage;Country;County;Designation;Points;Price;Province;Title;Variety;Winery
01/01/2009;Italy;Brunello di Montalcino;Riserva;89;$48.00;Tuscany;Marchesato degli Aleramici 2009 Riserva (Brunello di Montalcino);Sangiovese;Marchesato degli Aleramici
01/01/2009;Italy;Toscana;Fabrizio Bianchi;90;$25.00;Tuscany;Castello di Monsanto 2009 Fabrizio Bianchi Chardonnay (Toscana);Chardonnay;Castello di Monsanto
01/01/2009;Italy;Rosso Piceno Superiore;Roggio del Filare;89;$55.00;Central Italy;Velenosi 2009 Roggio del Filare (Rosso Piceno Superiore);Red Blend;Velenosi
01/01/2009;Italy;Vermentino di Sardegna;Is Argiolas;87;$20.00;Sicily & Sardinia;Argiolas 2009 Is Argiolas (Vermentino di Sardegna);Vermentino;Argiolas
01/01/2009;France;Coteaux d'Aix-en-Provence;La RÇserve;87;$40.00;Provence;ChÉteau de Calavon 2009 La RÇserve Red (Coteaux d'Aix-en-Provence);Rhìne-style Red Blend;ChÉteau de Calavon
01/01/2009;Italy;Barolo;Castellero;90;$82.00;Piedmont;Barale Fratelli 2009 Castellero (Barolo);Nebbiolo;Barale Fratelli
01/01/2009;France;Coteaux d'Aix-en-Provence;CuvÇe Marina;87;$26.00;Provence;Commanderie de la Bargemone 2009 CuvÇe Marina Red (Coteaux d'Aix-en-Provence);Red Blend;Commanderie de la Bargemone
01/01/2009;Italy;Chianti Classico;Riserva;90;$30.00;Tuscany;Castello San Donato in Perano 2009 Riserva (Chianti Classico);Red Blend;Castello San Donato in Perano
01/01/2009;France;Cahors;Clos Triguedina Petit Clos;89;$20.00;Southwest France;Jean-Luc Baldäs 2009 Clos Triguedina Petit Clos Malbec-Merlot (Cahors);Malbec-Merlot;Jean-Luc Baldäs
01/01/2009;France;Cornas;Les Barcillants;93;$50.00;Rhìne Valley;Les Vins de Vienne 2009 Les Barcillants (Cornas);Syrah;Les Vins de Vienne
01/01/2009;France;Coteaux d'Aix-en-Provence;Tradition de Calavon;88;$30.00;Provence;ChÉteau de Calavon 2009 Tradition de Calavon Red (Coteaux d'Aix-en-Provence);Rhìne-style Red Blend;ChÉteau de Calavon
01/01/2009;Italy;Toscana;Belguardo;88;$17.00;Tuscany;Mazzei 2009 Belguardo Vermentino (Toscana);Vermentino;Mazzei
01/01/2009;Italy;Barbaresco;Martinenga;89;$54.00;Piedmont;Tenute Cisa Asinari dei Marchesi di Gresy 2009 Martinenga (Barbaresco);Nebbiolo;Tenute Cisa Asinari dei Marchesi di Gresy
01/01/2009;Italy;Franciacorta;EBB Extra Brut;90;$49.00;Lombardy;Il Mosnel 2009 EBB Extra Brut Chardonnay (Franciacorta);Chardonnay;Il Mosnel
01/01/2009;Italy;Sicilia;Sole di Sesta;91;$48.00;Sicily & Sardinia;Cottanera 2009 Sole di Sesta Syrah (Sicilia);Syrah;Cottanera
01/01/2009;Italy;Barolo;Riserva San Pietro;87;$80.00;Piedmont;Tenuta Rocca 2009 Riserva San Pietro (Barolo);Nebbiolo;Tenuta Rocca
01/01/2009;France;Haut-MÇdoc;L'Enclos de Ramage;87;$19.00;Bordeaux;ChÉteau Ramage la Batisse 2009 L'Enclos de Ramage (Haut-MÇdoc);Bordeaux-style Red Blend;ChÉteau Ramage la Batisse
01/01/2009;France;Bordeaux SupÇrieur;ElevÇ en F«Øts de Ch«¶ne;85;$15.00;Bordeaux;ChÉteau Grand Jean 2009 ElevÇ en F«Øts de Ch«¶ne (Bordeaux SupÇrieur);Bordeaux-style Red Blend;ChÉteau Grand Jean
01/01/2009;France;Alsace;Steinert Grand Cru;91;$45.00;Alsace;La Cave des Vignerons de Pfaffenheim 2009 Steinert Grand Cru Riesling (Alsace);Riesling;La Cave des Vignerons de Pfaffenheim
01/01/2009;Italy;Piave;Il Tralcetto;87;$14.00;Veneto;Cescon Italo Storia e Vini 2009 Il Tralcetto Raboso (Piave);Raboso;Cescon Italo Storia e Vini
01/01/2009;Italy;Chianti Classico;Riserva;87;$14.00;Tuscany;Villa Montignana 2009 Riserva (Chianti Classico);Red Blend;Villa Montignana
01/01/2009;Italy;Alto Adige;Lieben Aich;87;$35.00;Northeastern Italy;Manincor 2009 Lieben Aich Sauvignon (Alto Adige);Sauvignon;Manincor
01/01/2009;France;Cahors;CuvÇe Prestige;90;$25.00;Southwest France;ChÉteau du Port 2009 CuvÇe Prestige Malbec (Cahors);Malbec;ChÉteau du Port
01/01/2009;Italy;Cesanese del Piglio;Tenuta della Ioria Superiore;89;$21.00;Central Italy;Casale della Ioria 2009 Tenuta della Ioria Superiore (Cesanese del Piglio);Cesanese d'Affile;Casale della Ioria
01/01/2009;France;Alsace;Furstentum Grand Cru;89;$37.00;Alsace;Domaine Bott-Geyl 2009 Furstentum Grand Cru Gewurztraminer (Alsace);GewÅrztraminer;Domaine Bott-Geyl
01/01/2009;Italy;Dolcetto d'Alba;Primaio;86;$14.00;Piedmont;Cantine San Silvestro 2009 Primaio (Dolcetto d'Alba);Dolcetto;Cantine San Silvestro
01/01/2009;France;Anjou;Les Neuf Vingt;87;$19.00;Loire Valley;Musset-Roullier 2009 Les Neuf Vingt Cabernet Franc (Anjou);Cabernet Franc;Musset-Roullier
01/01/2009;Italy;Alto Adige;Punggl;90;$22.00;Northeastern Italy;Nals Margreid 2009 Punggl Pinot Grigio (Alto Adige);Pinot Grigio;Nals Margreid
01/01/2009;Italy;Alta Langa;CuvÇe Leonora;88;$24.00;Piedmont;Cascina Bretta Rossa 2009 CuvÇe Leonora Sparkling (Alta Langa);Sparkling Blend;Cascina Bretta Rossa
01/01/2009;France;Meursault;Clos de Mazeray;88;$95.00;Burgundy;Domaine Jacques Prieur 2009 Clos de Mazeray (Meursault);Chardonnay;Domaine Jacques Prieur
01/01/2009;France;Cahors;PrieurÇ de CÇnac Mission;91;$15.00;Southwest France;ChÉteau Saint-Didier-Parnac 2009 PrieurÇ de CÇnac Mission Malbec-Merlot (Cahors);Malbec-Merlot;ChÉteau Saint-Didier-Parnac
01/01/2009;Italy;Chianti Classico;Il Margone Riserva;88;$95.00;Tuscany;Il Molino di Grace 2009 Il Margone Riserva (Chianti Classico);Sangiovese;Il Molino di Grace
01/01/2009;Italy;Chianti Classico;Le Ellere;88;$25.00;Tuscany;Castello d'Albola 2009 Le Ellere (Chianti Classico);Sangiovese;Castello d'Albola
01/01/2009;France;Clos de la Roche;Clos de la Roche;96;$304.00;Burgundy;Domaine Dujac 2009 Clos de la Roche (Clos de la Roche);Pinot Noir;Domaine Dujac
01/01/2009;France;Bordeaux SupÇrieur;CuvÇe Prestige;87;$20.00;Bordeaux;ChÉteau Montet 2009 CuvÇe Prestige (Bordeaux SupÇrieur);Bordeaux-style Red Blend;ChÉteau Montet
01/01/2009;France;Corton;ChÉteau Corton Grancey;93;$129.00;Burgundy;Louis Latour 2009 ChÉteau Corton Grancey (Corton);Pinot Noir;Louis Latour
01/01/2009;France;Chassagne-Montrachet;CuvÇe Signature Morgeot Premier Cru;88;$75.00;Burgundy;Bouchard AånÇ & Fils 2009 CuvÇe Signature Morgeot Premier Cru (Chassagne-Montrachet);Chardonnay;Bouchard AånÇ & Fils
01/01/2009;France;Crozes-Hermitage;Clos les Cornirets;90;$42.00;Rhìne Valley;Fayolle Fils & Fille 2009 Clos les Cornirets (Crozes-Hermitage);Syrah;Fayolle Fils & Fille
01/01/2009;Italy;Alto Adige;Gries;87;$16.00;Northeastern Italy;St. Pauls 2009 Gries Lagrein (Alto Adige);Lagrein;St. Pauls
01/01/2009;Italy;Chianti Classico;Riserva;86;$35.00;Tuscany;Coli 2009 Riserva (Chianti Classico);Red Blend;Coli
01/01/2009;Italy;Chianti Classico;Riserva;91;$27.00;Tuscany;Volpaia 2009 Riserva (Chianti Classico);Sangiovese;Volpaia
01/01/2009;France;Sancerre;Les Belles Vignes;87;$26.00;Loire Valley;Fournier Päre et Fils 2009 Les Belles Vignes (Sancerre);Pinot Noir;Fournier Päre et Fils
01/01/2009;Italy;Brunello di Montalcino;Vigna Manapetra Riserva;87;$58.00;Tuscany;Fattoria La Lecciaia 2009 Vigna Manapetra Riserva (Brunello di Montalcino);Sangiovese;Fattoria La Lecciaia
01/01/2009;Italy;Verdicchio dei Castelli di Jesi;Querciantica;86;$15.00;Central Italy;Velenosi 2009 Querciantica (Verdicchio dei Castelli di Jesi);Verdicchio;Velenosi
01/01/2009;Italy;Cilento;Prime Vigne;87;$17.00;Southern Italy;Verrone 2009 Prime Vigne Aglianico (Cilento);Aglianico;Verrone
01/01/2009;France;Champagne;Premier Cru Brut Nature MillÇsime;92;$75.00;Champagne;Henriet-Bazin 2009 Premier Cru Brut Nature MillÇsime (Champagne);Champagne Blend;Henriet-Bazin
01/01/2009;France;Cahors;B (Si);88;$16.00;Southwest France;Lannac Saint-Jean 2009 B (Si) Malbec (Cahors);Malbec;Lannac Saint-Jean
01/01/2009;Italy;Sicilia;Il Musico;90;$26.00;Sicily & Sardinia;Benanti 2009 Il Musico Moscato (Sicilia);Moscato;Benanti
01/01/2009;France;Vin de Pays d'Oc;RÇserve St. Martin;84;$10.00;Languedoc-Roussillon;Les Vignerons de la MÇditerranÇe 2009 RÇserve St. Martin Cabernet Sauvignon (Vin de Pays d'Oc);Cabernet Sauvignon;Les Vignerons de la MÇditerranÇe
01/01/2009;France;Alsace;Gloeckelberg Grand Cru;91;$35.00;Alsace;Bott Fräres 2009 Gloeckelberg Grand Cru Pinot Gris (Alsace);Pinot Gris;Bott Fräres
01/01/2009;France;Cahors;K-Lys;91;$24.00;Southwest France;Clos Troteligotte 2009 K-Lys Malbec (Cahors);Malbec;Clos Troteligotte
01/01/2009;France;Vacqueyras;Saint-BarthÇlÇmy;89;$22.00;Rhìne Valley;Gabriel Meffre 2009 Saint-BarthÇlÇmy Red (Vacqueyras);Rhìne-style Red Blend;Gabriel Meffre
01/01/2009;France;Crozes-Hermitage;Domaine de Roure;90;$60.00;Rhìne Valley;Paul Jaboulet AånÇ 2009 Domaine de Roure Marsanne (Crozes-Hermitage);Marsanne;Paul Jaboulet AånÇ
01/01/2009;France;Morgon;Cìte de Py;92;$22.00;Beaujolais;Paul Beaudet 2009 Cìte de Py (Morgon);Gamay;Paul Beaudet
01/01/2009;Italy;Lugana;Vegnie Vecie;86;$22.00;Lombardy;Fraccaroli 2009 Vegnie Vecie (Lugana);Turbiana;Fraccaroli
01/01/2009;Italy;Puglia;Arrocco;86;$20.00;Southern Italy;Tenuta Fujanera 2009 Arrocco Nero di Troia (Puglia);Nero di Troia;Tenuta Fujanera
01/01/2009;France;Saint-Aubin;En Remilly Premier Cru;91;$40.00;Burgundy;Jean-Claude Boisset 2009 En Remilly Premier Cru (Saint-Aubin);Chardonnay;Jean-Claude Boisset
01/01/2009;France;Chablis;Les Fourchaumes Vieilles Vignes;92;$50.00;Burgundy;Domaine Laroche 2009 Les Fourchaumes Vieilles Vignes (Chablis);Chardonnay;Domaine Laroche
01/01/2009;France;Alsace;Bollenberg;87;$15.00;Alsace;ChÉteau d'Orschwihr 2009 Bollenberg Pinot Blanc (Alsace);Pinot Blanc;ChÉteau d'Orschwihr
01/01/2009;France;Vouvray;CuvÇe MillesimÇ Brut;88;$22.00;Loire Valley;Vignoble Brisebarre 2009 CuvÇe MillesimÇ Brut (Vouvray);Chenin Blanc;Vignoble Brisebarre
01/01/2009;Italy;Toscana;Molin Vecchio;91;$65.00;Tuscany;Carpineto 2009 Molin Vecchio Red (Toscana);Red Blend;Carpineto
01/01/2009;France;Chablis;VaudÇsir Grand Cru;91;$120.00;Burgundy;Garnier et Fils 2009 VaudÇsir Grand Cru (Chablis);Chardonnay;Garnier et Fils
01/01/2009;France;Madiran;CuvÇe 1907;90;$16.00;Southwest France;Producteurs Plaimont 2009 CuvÇe 1907 Tannat (Madiran);Tannat;Producteurs Plaimont
01/01/2009;Italy;Vino Spumante;Duemilanove RosÇ Metodo Classico;90;$33.00;Italy Other;Rivetti Massimo 2009 Duemilanove RosÇ Metodo Classico Sparkling (Vino Spumante);Sparkling Blend;Rivetti Massimo
01/01/2009;France;Madiran;Dou Hauret;91;$50.00;Southwest France;ChÉteau de Gayon 2009 Dou Hauret Red (Madiran);Red Blend;ChÉteau de Gayon
01/01/2009;Italy;Amarone della Valpolicella Classico;Vigneti di Ravazzol;92;$70.00;Veneto;CÖ La Bionda 2009 Vigneti di Ravazzol (Amarone della Valpolicella Classico);Red Blend;CÖ La Bionda
01/01/2009;Italy;Veneto;Solär;88;$37.00;Veneto;De Stefani 2009 Solär Red (Veneto);Red Blend;De Stefani
01/01/2009;France;Meursault;Charmes Premier Cru;93;$105.00;Burgundy;Olivier Leflaive 2009 Charmes Premier Cru (Meursault);Chardonnay;Olivier Leflaive
01/01/2009;France;Vouvray;Les Larmes de Bacchus;89;$111.00;Loire Valley;Domaine Pichot 2009 Les Larmes de Bacchus (Vouvray);Chenin Blanc;Domaine Pichot
